,title,url,label
0,위메이드 위믹스 이더리움 기반 거래소 유니스왑 유동성 공급,https://zdnet.co.kr/view/?no=20220726162238,0
1,비트코인 3000만원 밑돌며 주춤이더리움은 속도,http://www.newsis.com/view/?id=NISX20220725_0001954407&cID=10401&pID=10400,-1
2,가상화폐 시세 이더리움 상승세 계속 앞으로 전망은,https://www.gukjenews.com/news/articleView.html?idxno=2518010,1
3,가상화폐 시세 비트코인 2800만원선 위태도지코인 82원선 이더리움 180만,http://www.econonews.co.kr/news/articleView.html?idxno=254183,0
4,순조로운 이더리움 어디까지 가나,http://www.econovill.com/news/articleView.html?idxno=583535,0
5,비탈릭 이더리움 머지 ETH 가격에 반영되려면 68개월 걸릴 것,http://coinreaders.com/40655,0
6,이더리움 테스트넷 내달 4일부터 두번에 걸쳐 진행,https://www.tokenpost.kr/article-100795,0
7,마이클 세일러 비트코인은 암호화폐이더리움 유가증권,http://www.thekpm.com/news/articleView.html?idxno=130207,0
8,28일 9시 비트코인 3020원선 633↑이더리움 215만원 1123↑,http://www.breaknews.com/912235,1
9,이더리움 시장 점유율 한 달간 4 상승 이유는,https://www.khgames.co.kr/news/articleView.html?idxno=202714,1
10,종합 이더리움 메인넷 10번째 섀도우 포크 완료마지막 메인넷 포크 아,http://coinreaders.com/40659,0
11,지난 한시간 트위터 언급 횟수 이더리움비트코인리플 順,http://coinreaders.com/40593,0
12,코인 시황 비트코인 2만2000달러 돌파이더리움도 15↑,http://www.newspim.com/news/view/20220728000018,1
13,비트코인 3000만원대 회복리플이더리움 알트코인 강세,http://www.sporbiz.co.kr/news/articleView.html?idxno=626884,1
14,게임에서 영감 얻은 소울바운드 토큰’ 제시한 이더리움 창시자비트코인A ,https://magazine.hankyung.com/business/article/202207216536b,0
15,28일 기준지난 24시간 거래량 순위 테더비트코인리플이더리움 順,http://coinreaders.com/40613,0
16,27일 9시 비트코인 2840원선 053↓이더리움 193만원 008↓,http://www.breaknews.com/911936,0
17,가상화폐 시황 FOMC 소화 비트코인이더리움 일제히 상승솔라나 10↑,http://daily.hankooki.com/news/articleView.html?idxno=853261,1
18,이더리움 POS 전환시 이더리움 클래식은 작업증명 POW의 훌륭한 옵션,http://www.fintechpost.co.kr/news/articleView.html?idxno=159425,0
19,비트코인 울고 이더리움 웃고1위 가상자산 세대교체되나,http://www.pinpointnews.co.kr/news/articleView.html?idxno=132647,1
20,비트코인 3025만원대 상승이더리움 251만원대,http://www.cstimes.com/news/articleView.html?idxno=506703,1
21,비트코인 FOMC 리스크 해소에 상승장이더리움클래식 열흘만에 두배,https://www.asiatime.co.kr/article/20220728500402,1
22,머지發 이더리움 랠리 잠시 멈춤ETH 차익실현에 하락,http://coinreaders.com/40446,0
23,美 FOMC 앞두고 가상자산 약세이더리움 10대 급락,https://biz.sbs.co.kr/article_hub/20000073414?division=NAVER,-1
24,비트코인 2800만원 이더리움 198만원폭풍전야,http://www.econovill.com/news/articleView.html?idxno=583556,0
25, 특징주 드래곤플라이 메타콩즈코인 이더리움 재발행 소식에 ↑,http://www.fnnews.com/news/202207261027106668,1
26,Bit코인 비트코인이더리움 급등CME 선물 프리미엄 상승에 기관들 낙관,https://www.etoday.co.kr/news/view/2158204,1
27,비트코인 美 나스닥 하락에 휘청 이더리움리플 등도 약세,http://moneys.mt.co.kr/news/mwView.php?no=2022072607575396011,-1
28,오전 암호화폐 시세 비트코인 2900만원대이더리움 210만원대다른 코인 ,https://www.ekn.kr/web/view.php?key=20220728010004902,0
29,오후 암호화폐 시세 이더리움클래식↑다른 코인도 상승세,https://www.ekn.kr/web/view.php?key=20220727010004765,1
30,이더리움 네트워크 업그레이드에 들썩 가상자산시장 주도하나,http://www.pinpointnews.co.kr/news/articleView.html?idxno=132413,0
31,27일 기준지난 24시간 거래량 순위 테더비트코인리플이더리움 順,http://coinreaders.com/40456,0
32,이더리움 어디까지 갈까,http://www.econovill.com/news/articleView.html?idxno=583201,0
33,가상화폐 시황 FOMC실적 경계 뉴욕증시 하락비트코인이더리움↓,http://daily.hankooki.com/news/articleView.html?idxno=852712,-1
34,한달새 79 뛴 이더리움 랠리의 비결 이정훈의 코읽남,http://www.edaily.co.kr/news/newspath.asp?newsid=02978246632396488,0
35,코인시황 비트코인 저가매수세에 소폭 상승이더리움 190만원대로↑,http://www.newsworks.co.kr/news/articleView.html?idxno=604434,1
36,코인브리핑 머스크 손절 여파 비트코인 주춤 vs 이더리움 상승,http://www.fnnews.com/news/202207221113088416,-1
37,코인시황 비트코인 8 급등 2만2813달러 이더리움 15 폭등‧리플 7 상승,http://www.g-enews.com/ko-kr/news/article/news_all/202207280746492910c4c55f9b3d_1/article.html,1
