,title,url,label
0,코인시황 비트코인 1만9463달러 리플 8 급등‧이더리움 1332달러,http://www.g-enews.com/ko-kr/news/article/news_all/202209300752271373c4c55f9b3d_1/article.html,1
1,비트코인 2700만원대 횡보이더리움 190만원선 아슬,http://www.newsis.com/view/?id=NISX20220930_0002032786&cID=15001&pID=15000,0
2,이더리움 머지 후 당면과제는확장성과 용량 개선해야,http://coinreaders.com/47124,0
3,美 CFTC 위원장 비트코인이더리움은 디지털 토큰의회에 규제 권한 요청,https://www.tokenpost.kr/article-107224,0
4,리본파이낸스 이더리움 롤업 기반 옵션 거래소 출시,https://www.tokenpost.kr/article-106972,1
5,코인 빅데이터 머지 업데이트 이후 변화이더리움ETH vs 이더리움클래식,http://coinreaders.com/47064,0
6,오전 암호화폐 시세 비트코인 2700만원이더리움 190만원대다른 코인 대체,https://www.ekn.kr/web/view.php?key=20220930010005339,0
7,미국 뉴욕증시 급락에도 비트코인이더리움이더리움클래식 견조한 시세,https://www.socialvalue.kr/news/view/1065555278078393,-1
8,비트코인 이더리움 하방 경직 보이나 기간조정 불가피관건은 금리와 주요 ,https://idsn.co.kr/news/view/1065574422463316,0
9,마감 시세브리핑 영국발 호조에 상승 흐름 지속비트코인이더리움 3 ↑,https://www.tokenpost.kr/article-107121,1
10,이더리움 10월말까지 13 상승한다 글로벌 암호화폐 커뮤니티 여론조사,http://www.econonews.co.kr/news/articleView.html?idxno=261516,1
11,美증시 불안에 코인 가격 줄다리기가격 하락세 이어질 것 코인스캐너,https://www.hankyung.com/economy/article/202209306926i,-1
12,오늘부터 모든 미국 페북인스타 사용자 NFT 공유 가능 등,http://news.mk.co.kr/newsRead.php?no=864256&year=2022,0
13,크립토 브리핑 2만달러 내외 횡보하는 비트코인리플은 홀로 상승중,https://www.techm.kr/news/articleView.html?idxno=101971,1
14,미국 상품선물거래위원장 비트코인 2배 상승 전망 이유는,https://www.khgames.co.kr/news/articleView.html?idxno=204523,1
15,코인시황 비트코인 정말 바닥일까 반등 초기 신호 나타나,http://www.coindeskkorea.com/news/articleView.html?idxno=81551,0
16,토큰포스트 마감 브리핑 금감원 가상자산 규제 EU법안 미카 참고할 것 外,https://www.tokenpost.kr/article-107123,0
17,컴투스 메인넷 XPLA 싱가포르 토큰2049에 뜬다,https://zdnet.co.kr/view/?no=20220929150757,0
18,코인 사기 30대 징역 5년벌금 10억 법원 사기죄 판단 기준 제시,https://view.asiae.co.kr/article/2022092923222951120,-1
19,비트코인 美 뉴욕증시 급락에도 보합권 1만9000달러선 거래,http://moneys.mt.co.kr/news/mwView.php?no=2022093008032574210,-1
20,울프리서치 비트코인 사이클상 1만3천달러 추락 가능성,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202209300037&t=NN,0
21,글루와 폴리곤 파트너십 체결,https://www.etnews.com/20220929000244,1
22,코인뉴스 美 증시 급락해도비트코인 하락폭 선방,https://www.dailian.co.kr/news/view/1157906/?sc=Naver,-1
23,마켓뷰 코스피지수 외국인 사자’에도 2170선 턱걸이 마감,https://biz.chosun.com/stock/market_trend/2022/09/29/G4E7TDUISND33LFGAD2DXRDHEM/?utm_source=naver&utm_medium=original&utm_campaign=biz,0
24,포르투갈 해변에 모이는 코인 지지자들그래도 오른다,http://www.newsis.com/view/?id=NISX20220929_0002031994&cID=10101&pID=10100,0
25,비트코인 두 배 간다,https://www.econovill.com/news/articleView.html?idxno=591040,0
26,코인뉴스 강달러 주춤하자비트코인 2800만원대 재진입,https://www.dailian.co.kr/news/view/1157770/?sc=Naver,-1
27,비트코인 1만9000달러 횡보반등 도모할 동력이 없네,http://www.edaily.co.kr/news/newspath.asp?newsid=01285766632465368,1
28,코인 거래 줄어도 수수료 인하 경쟁 치열코인베이스 팔아라,http://www.edaily.co.kr/news/newspath.asp?newsid=03883526632465040,0
29,가상화폐 시황 비트코인 1만9000달러대 유지리플 7↑,https://daily.hankooki.com/news/articleView.html?idxno=877266,1
30,실패한 코인 사업가인가 사기꾼인가法 3가지 판단기준 제시,https://www.ajunews.com/view/20220930103527328,-1
